Date,Close,High,Low,Open,Volume
04-06-2020,70.37851715,71.72309429,69.96599205,71.49716943,26982000
05-06-2020,71.65840149,71.97091038,70.0461071,70.44520002,42642000
08-06-2020,72.05748749,72.10525563,70.88509141,70.97466711,33878000
09-06-2020,72.25852966,73.04079279,71.7748421,71.91816172,33624000
10-06-2020,72.88652802,73.28810386,72.37198975,72.72778684,31762000
11-06-2020,69.76147461,72.23465107,69.5878054,71.70866238,47144000
12-06-2020,70.3098526,71.38421437,68.96030199,70.95376958,36676000
15-06-2020,70.69898987,70.91097381,69.02996753,69.14392465,30468000
16-06-2020,71.97937012,72.51182052,71.10952826,72.10526359,30648000
17-06-2020,72.28142548,72.76212897,71.41506882,72.30133456,30610000
18-06-2020,71.36481476,72.30282749,70.97268466,72.14757152,34862000
19-06-2020,70.89306641,71.88133775,70.61240293,71.65740986,52784000
22-06-2020,72.18787384,72.20230831,70.62186681,70.91148255,29442000
23-06-2020,72.85070038,73.40903563,71.90621842,72.25455153,37752000
24-06-2020,71.29415131,73.43839511,71.15979153,72.81587541,31592000
25-06-2020,71.71214294,71.77284971,70.63926945,71.22049025,23958000
26-06-2020,67.80283356,71.50911286,67.42762851,71.2906596,97640000
29-06-2020,69.52610016,69.56740658,67.26092874,67.69336297,45074000
30-06-2020,70.56513214,70.8612172,69.01653605,69.51167404,40286000
01-07-2020,71.75694275,72.07940624,70.37256236,70.62087929,42182000
02-07-2020,73.14678192,74.07186348,72.20826818,72.24659051,57218000
06-07-2020,74.62571716,75.14075662,73.49761142,74.05345616,44712000
07-07-2020,74.1415329,75.70406217,74.13058366,74.45055656,42364000
08-07-2020,74.82227325,75.19897413,74.25995925,74.68294002,31766000
09-07-2020,75.57169342,76.09320218,74.42368621,75.13726983,41836000
10-07-2020,76.58435822,76.70030474,74.67897031,75.30248471,35918000
13-07-2020,75.25173187,78.44297203,74.96958014,77.12825842,42954000
14-07-2020,75.6811676,75.77770617,73.94297977,74.28435,38108000
15-07-2020,75.48312378,76.45099252,74.53515654,75.79911033,31026000
16-07-2020,75.38559723,75.43486122,74.05943311,74.71778467,26484000
17-07-2020,75.48162842,75.80906535,74.54858919,75.4846125,34264000
20-07-2020,77.81994629,78.07721544,74.77749297,75.38956454,30166000
21-07-2020,77.42583466,78.97493192,77.26161883,78.87441455,27486000
22-07-2020,77.87020874,77.97620072,76.79435105,77.4153825,24482000
23-07-2020,75.47665405,78.14390247,75.07059065,77.92395336,33910000
24-07-2020,75.05168915,75.41097154,74.02559651,74.60283863,29902000
27-07-2020,76.1076355,76.51220308,75.25670795,75.30298785,27124000
28-07-2020,74.82476807,75.93744461,74.66901097,75.88718594,30910000
29-07-2020,75.81303406,76.30169507,74.79290978,74.89193889,22676000
30-07-2020,76.55252075,76.67792069,74.40279449,74.54212776,36042000
31-07-2020,74.04350281,74.89294207,72.35407768,74.49633966,91468000
03-08-2020,73.78524017,74.53017572,73.23586473,74.19528236,45482000
04-08-2020,73.31449127,74.30027971,72.85319571,73.98180263,37212000
05-08-2020,73.60260773,74.14551383,73.2109788,73.48965289,29134000
06-08-2020,74.88945007,74.95513791,73.24481675,73.45630714,33306000
07-08-2020,74.56203461,75.64286587,73.9599099,75.09299684,27718000
10-08-2020,74.48488617,74.99892327,73.52297816,74.18531593,20546000
11-08-2020,73.67476654,75.16265579,73.55782532,74.34456082,31098000
12-08-2020,75.00341034,75.22386058,73.89670197,74.00220039,22512000
13-08-2020,75.47167969,76.48285192,75.05169051,75.05169051,22388000
14-08-2020,74.87353516,75.62793169,74.59337282,75.32039625,21942000
17-08-2020,75.45127106,75.82648373,74.89194866,75.43783888,19990000
18-08-2020,77.41886902,77.49798904,75.72148631,75.94292367,28378000
19-08-2020,76.86302948,78.06976181,76.63362695,77.255152,30472000
20-08-2020,78.43749237,78.63255891,76.35793426,76.63212081,26382000
21-08-2020,78.40366364,79.21528173,77.74381628,78.2160535,34838000
24-08-2020,78.88038635,80.05626796,78.37729077,79.24464222,25638000
25-08-2020,79.9104538,80.06122983,78.51860203,78.62907393,25150000
26-08-2020,81.81533813,82.24628407,79.66811044,79.93284359,52188000
27-08-2020,81.03855896,82.00742233,80.55536495,81.9387504,31350000
28-08-2020,81.58145905,81.67700293,80.89375268,81.08583513,22418000
31-08-2020,81.08882904,81.83376463,80.87982915,81.78748473,26422000
01-09-2020,82.36023712,82.5662529,81.08881938,81.21969391,22652000
02-09-2020,85.46091461,85.89434351,82.61452247,83.00366086,49522000
03-09-2020,81.08782959,84.5955575,80.00301202,84.57166963,63726000
04-09-2020,78.68431091,81.36051134,76.53259571,80.06719518,55850000
08-09-2020,75.81751251,77.40740717,75.46419837,75.88717913,54032000
09-09-2020,76.99340057,77.56516042,75.89564446,77.07649937,39242000
10-09-2020,75.93943024,78.30860397,75.63837174,77.14019419,33024000
11-09-2020,75.42738342,76.56892127,74.29579253,76.04393489,30706000
14-09-2020,75.08252716,77.47956755,74.89741517,76.21809683,42660000
15-09-2020,76.39077759,77.18050476,75.74288179,76.03100168,23042000
16-09-2020,75.24475861,77.3486982,75.21987604,76.75702925,22128000
17-09-2020,73.99822235,74.57645916,72.77507377,73.93701443,40008000
18-09-2020,72.20926666,74.40427776,71.24040328,74.06091813,63056000
21-09-2020,71.16676331,71.66039786,69.80029514,71.24040871,56908000
22-09-2020,72.64369202,72.85020894,71.13490659,72.17095368,33950000
23-09-2020,70.13419342,72.30830089,69.80029476,72.2590369,37726000
24-09-2020,70.80448151,71.55738213,69.7739091,69.8002875,34552000
25-09-2020,71.61064148,71.95299885,70.04910674,70.91347406,30326000
28-09-2020,72.58596802,73.29905809,71.96991766,73.24930056,30784000
29-09-2020,72.95222473,73.24979803,72.35407886,72.84722745,31816000
30-09-2020,72.93132019,73.95641806,72.44166443,72.69942714,40924000
01-10-2020,74.04100037,74.39779973,73.48864094,73.83001114,32884000
02-10-2020,72.43370056,73.59962754,72.02316482,72.63424173,31222000
05-10-2020,73.78871155,73.88176488,72.65712075,72.78451004,21602000
06-10-2020,72.20579529,73.87282086,71.90672614,73.42397036,26096000
07-10-2020,72.60985565,73.09901784,71.32051822,72.61831436,36108000
08-10-2020,73.81858063,74.047482,72.92385616,72.92385616,26076000
